task_id,repo,split,base_commit,gold_commit,gold_commit_count,commit_urls,pull_number,pull_url,gold_patch_file,gold_files_changed,gold_loc_added,gold_loc_deleted,gold_modules_changed
python-babel__babel-1120,python-babel/babel,discovery,0005c85fccccb491930f064ea8d064e87ce7ee79,ac3c99969e2182a01360152fa37b6cc5e3a88a26,6,https://github.com/python-babel/babel/commit/60214091492b4f135c9f76aaf3200fb28928631d https://github.com/python-babel/babel/commit/3098db0757c6c816f32195b01873004df7ac0de6 https://github.com/python-babel/babel/commit/6e815e27835100450cd8ad5a1ef7f3ae476dcfd2 https://github.com/python-babel/babel/commit/89602b4cd81636d1d6545d4a16aae216af560212 https://github.com/python-babel/babel/commit/1def5e824362e5c5f91c866ee0322fe594e687df https://github.com/python-babel/babel/commit/ac3c99969e2182a01360152fa37b6cc5e3a88a26,1120,https://github.com/python-babel/babel/pull/1120,gold/patches/python-babel__babel-1120.patch,2,24,3,1
pdm-project__pdm-3455,pdm-project/pdm,discovery,92dfb19a220cdb78d47d2220414fc91c4007d8d0,c66de2476bc3ce7f08112e1e68526864d1b4529c,3,https://github.com/pdm-project/pdm/commit/38ac94c8fb3a53f2a5234e03977ccbde6fea6de7 https://github.com/pdm-project/pdm/commit/24b76396df64ee1d42302ea3758f48a45f647a78 https://github.com/pdm-project/pdm/commit/c66de2476bc3ce7f08112e1e68526864d1b4529c,3455,https://github.com/pdm-project/pdm/pull/3455,gold/patches/pdm-project__pdm-3455.patch,4,42,37,4
kozea__weasyprint-2051,Kozea/WeasyPrint,discovery,6e835e2729c24fac40e2f908c33bed9be5f6042d,63ab6140cea7c7f7db24357cdefd08e55f90595f,1,https://github.com/Kozea/WeasyPrint/commit/63ab6140cea7c7f7db24357cdefd08e55f90595f,2051,https://github.com/Kozea/WeasyPrint/pull/2051,gold/patches/kozea__weasyprint-2051.patch,1,1,0,1
pylint-dev__pylint-9346,pylint-dev/pylint,discovery,511354a8382ee40d08322117c81bdd452131ff6f,86f43785997a855e3a7d5adbbe2b0412516e5621,1,https://github.com/pylint-dev/pylint/commit/86f43785997a855e3a7d5adbbe2b0412516e5621,9346,https://github.com/pylint-dev/pylint/pull/9346,gold/patches/pylint-dev__pylint-9346.patch,2,10,0,2
reata__sqllineage-581,reata/sqllineage,discovery,fb37edc8f114a2a2e68bdbba16013bd51b3e50ec,1b27aa48ee6c4bdbca06e83ace6a1b7f4cdf2fec,1,https://github.com/reata/sqllineage/commit/1b27aa48ee6c4bdbca06e83ace6a1b7f4cdf2fec,581,https://github.com/reata/sqllineage/pull/581,gold/patches/reata__sqllineage-581.patch,1,4,4,1
pytorch__torchtune-1477,pytorch/torchtune,held_out,069bc4dcd9e7d6795efd042dbc64d145e8a785d3,1e0501e84d13119b89c81b9cafe08da7b8bae0ec,1,https://github.com/pytorch/torchtune/commit/1e0501e84d13119b89c81b9cafe08da7b8bae0ec,1477,https://github.com/pytorch/torchtune/pull/1477,gold/patches/pytorch__torchtune-1477.patch,1,4,2,1
python-babel__babel-1126,python-babel/babel,discovery,ea84d9d5f0bd2859f3281e4dac812ae05d33f466,57957119dd39e8078dbc5f1c714089ad8741026b,1,https://github.com/python-babel/babel/commit/57957119dd39e8078dbc5f1c714089ad8741026b,1126,https://github.com/python-babel/babel/pull/1126,gold/patches/python-babel__babel-1126.patch,1,8,2,1
mikedh__trimesh-2136,mikedh/trimesh,held_out,021af1fedb3c6cff0e42cba9eed140eea7f819e3,c930b48a1276e6009bcdb9327a4815f82ecc6773,4,https://github.com/mikedh/trimesh/commit/54cb78d9317cdaf8274cf0cb7e47ca72a727b041 https://github.com/mikedh/trimesh/commit/4e20242aa137214ac54ee8a4afa18ddf3201830e https://github.com/mikedh/trimesh/commit/3b3fcebbd2085786b38ddb8e364d01b07446dc53 https://github.com/mikedh/trimesh/commit/c930b48a1276e6009bcdb9327a4815f82ecc6773,2136,https://github.com/mikedh/trimesh/pull/2136,gold/patches/mikedh__trimesh-2136.patch,4,32,42,3
geopandas__geopandas-3240,geopandas/geopandas,pilot,e5ef54c86cf10dd6f09b6eccea55fb3cc3038e3b,e7cd961f36c7ea86f2d570aaf12f65e5eadab13b,7,https://github.com/geopandas/geopandas/commit/795d154bb138d594824db30d457d37b854204461 https://github.com/geopandas/geopandas/commit/7e7bebe5d5624a19fda4cb0214dcbc58aad17722 https://github.com/geopandas/geopandas/commit/d71969e24376edb5d4f2ce0cc2b6515b60bcfd78 https://github.com/geopandas/geopandas/commit/0854398e101d03fbc0a877fcc0e741744ddfd3b4 https://github.com/geopandas/geopandas/commit/54600652ca1edc37eb15ba70aca3eecedd67a5a9 https://github.com/geopandas/geopandas/commit/b6cc984f63f8dc2264aaac9878a6489e02756f88 https://github.com/geopandas/geopandas/commit/e7cd961f36c7ea86f2d570aaf12f65e5eadab13b,3240,https://github.com/geopandas/geopandas/pull/3240,gold/patches/geopandas__geopandas-3240.patch,1,3,8,1
fonttools__fonttools-3682,fonttools/fonttools,discovery,e04dfaab53c54b83096222993b914dc62e483156,1cb153b2c52a1ae52fdafed4a08d34a73131302e,4,https://github.com/fonttools/fonttools/commit/ea59c39e219f8568667235a93d987eca9c1a0bc1 https://github.com/fonttools/fonttools/commit/a238ed2c318e04babee1f14932e080cb925f1544 https://github.com/fonttools/fonttools/commit/2906e4043d92d044861d3b982091fdbc94f19cc2 https://github.com/fonttools/fonttools/commit/1cb153b2c52a1ae52fdafed4a08d34a73131302e,3682,https://github.com/fonttools/fonttools/pull/3682,gold/patches/fonttools__fonttools-3682.patch,1,8,2,1
