task_id,repo,task_type,task_type_confidence,estimated_difficulty,build_success,docker_success,image_available,image_size_mb,image_last_updated,original_test_success,bug_reproducible,external_service_required,private_credential_required,missing_dependency,corrective_bug,fail_to_pass_count,pass_to_pass_count,screening_status,remove_reason,needs_manual_review,screening_notes,screening_stage
python-babel__babel-1120,python-babel/babel,bug_repair,0.8,Medium,,,1,500.8,2025-04-30T16:55:41.711365Z,,,0,0,,1,1,7104,keep,,1,very large pass_to_pass suite (7104 tests) -> long runtime,automatic
deepset-ai__haystack-8619,deepset-ai/haystack,bug_repair,0.85,Hard,,,1,8827.5,2025-04-30T17:09:25.042953Z,,,0,0,,1,13,1588,keep,,1,very large image (8828 MB) -> slow environment,automatic
scrapinghub__dateparser-1224,scrapinghub/dateparser,bug_repair,0.57,Medium,,,1,566.8,2025-04-30T16:58:06.566155Z,,,0,0,,1,4,23930,keep,,1,very large pass_to_pass suite (23930 tests) -> long runtime,automatic
pdm-project__pdm-3455,pdm-project/pdm,bug_repair,0.8,Hard,,,1,502.7,2025-04-30T16:56:22.645583Z,,,1,0,,1,945,1,keep,,1,static hint: mentions network/external service -> manual review; large fail_to_pass set (945 tests),automatic
sissbruecker__linkding-810,sissbruecker/linkding,feature,0.9,Hard,,,1,689.0,2025-04-30T16:59:12.11007Z,,,0,0,,0,2,758,remove,task_type=feature (not corrective bug repair),0,,automatic
matplotlib__matplotlib-28841,matplotlib/matplotlib,feature,0.9,Hard,,,1,1219.8,2025-04-30T16:57:12.255436Z,,,0,0,,0,4,8224,remove,task_type=feature (not corrective bug repair),1,very large pass_to_pass suite (8224 tests) -> long runtime,automatic
deepset-ai__haystack-9027,deepset-ai/haystack,feature,0.54,Medium,,,1,7500.2,2025-04-30T17:08:07.808703Z,,,0,0,,0,2,2159,remove,task_type=feature (not corrective bug repair),0,,automatic
reata__sqllineage-694,reata/sqllineage,bug_repair,0.8,Medium,,,1,768.1,2025-04-30T16:57:24.152558Z,,,1,0,,1,4,423,keep,,1,static hint: mentions network/external service -> manual review,automatic
sphinx-doc__sphinx-13172,sphinx-doc/sphinx,feature,0.64,Hard,,,1,604.3,2025-04-30T16:55:59.65617Z,,,1,0,,0,2,2145,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
matplotlib__matplotlib-27845,matplotlib/matplotlib,bug_repair,0.9,Easy,,,1,1226.2,2025-04-30T16:57:49.901614Z,,,1,0,,1,1,7831,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (7831 tests) -> long runtime,automatic
instructlab__instructlab-1413,instructlab/instructlab,feature,0.64,Hard,,,1,7512.7,2025-04-30T17:10:54.494858Z,,,1,0,,0,1,47,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
patroni__patroni-3207,patroni/patroni,bug_repair,0.88,Easy,,,1,472.7,2025-04-30T16:59:32.572381Z,,,1,0,,1,1,649,keep,,1,static hint: mentions network/external service -> manual review,automatic
kozea__weasyprint-2051,Kozea/WeasyPrint,bug_repair,0.79,Easy,,,1,522.4,2025-04-30T17:00:06.071296Z,,,1,0,,1,1,1932,keep,,1,static hint: mentions network/external service -> manual review,automatic
matplotlib__matplotlib-28306,matplotlib/matplotlib,bug_repair,0.57,Medium,,,1,1207.7,2025-04-30T17:01:53.060067Z,,,1,0,,1,1,8071,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (8071 tests) -> long runtime,automatic
openai__openai-agents-python-357,openai/openai-agents-python,feature,0.54,Medium,,,1,568.6,2025-04-30T17:02:20.429554Z,,,1,0,,0,2,321,remove,task_type=feature (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
pylint-dev__pylint-9346,pylint-dev/pylint,bug_repair,0.79,Medium,,,1,486.8,2025-04-30T17:01:14.486033Z,,,0,0,,1,1,1829,keep,,0,,automatic
aws-cloudformation__cfn-lint-4023,aws-cloudformation/cfn-lint,bug_repair,0.9,Easy,,,1,729.0,2025-04-30T17:03:02.312147Z,,,0,0,,1,1,1383,keep,,0,,automatic
reata__sqllineage-581,reata/sqllineage,bug_repair,0.8,Easy,,,1,749.3,2025-04-30T17:06:10.705531Z,,,0,0,,1,2,395,keep,,0,,automatic
pytorch__torchtune-1477,pytorch/torchtune,bug_repair,0.57,Easy,,,1,6785.8,2025-04-30T17:15:07.470273Z,,,0,0,,1,1,432,keep,,0,,automatic
scrapy-plugins__scrapy-splash-324,scrapy-plugins/scrapy-splash,docs,0.54,Hard,,,1,443.0,2025-04-30T17:07:01.911181Z,,,1,0,,0,17,43,remove,task_type=docs (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
pylint-dev__pylint-9700,pylint-dev/pylint,bug_repair,0.88,Medium,,,1,488.5,2025-04-30T17:07:51.278195Z,,,0,0,,1,1,1843,keep,,0,,automatic
streamlink__streamlink-6353,streamlink/streamlink,bug_repair,0.9,Easy,,,1,529.5,2025-04-30T17:08:27.983288Z,,,1,0,,1,1,6024,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6024 tests) -> long runtime,automatic
streamlink__streamlink-5869,streamlink/streamlink,bug_repair,0.9,Medium,,,1,554.1,2025-04-30T17:09:03.616474Z,,,1,0,,1,4,6124,keep,,1,static hint: mentions network/external service -> manual review; very large pass_to_pass suite (6124 tests) -> long runtime,automatic
conan-io__conan-17781,conan-io/conan,question,0.9,Medium,,,1,544.2,2025-04-30T17:12:09.346535Z,,,1,0,,0,4,4262,remove,task_type=question (not corrective bug repair),1,static hint: mentions network/external service -> manual review,automatic
pylint-dev__pylint-9632,pylint-dev/pylint,bug_repair,0.79,Hard,,,1,487.4,2025-04-30T17:10:18.314224Z,,,1,0,,1,2,1834,keep,,1,static hint: mentions network/external service -> manual review,automatic
